chr1	10033	10250	EH38E2776516	0	.	10033	10250	255,167,0	pELS
chr1	10385	10713	EH38E2776517	0	.	10385	10713	255,167,0	pELS
chr1	16097	16381	EH38E3951272	0	.	16097	16381	0,176,240	CA-CTCF
chr1	17343	17642	EH38E3951273	0	.	17343	17642	190,40,229	CA-TF
chr1	29320	29517	EH38E3951274	0	.	29320	29517	6,218,147	CA
chr1	66350	66509	EH38E3951275	0	.	66350	66509	6,218,147	CA
chr1	78990	79238	EH38E3951276	0	.	78990	79238	6,218,147	CA
chr1	79304	79545	EH38E2776519	0	.	79304	79545	255,205,0	dELS
chr1	91087	91426	EH38E3951277	0	.	91087	91426	0,176,240	CA-CTCF
chr1	98867	99117	EH38E3951278	0	.	98867	99117	216,118,236	TF
chr1	99553	99796	EH38E3951279	0	.	99553	99796	6,218,147	CA
chr1	104896	105048	EH38E2776520	0	.	104896	105048	0,176,240	CA-CTCF
chr1	115562	115912	EH38E3951280	0	.	115562	115912	0,176,240	CA-CTCF
chr1	118508	118826	EH38E3951281	0	.	118508	118826	216,118,236	TF
chr1	127668	127899	EH38E3951282	0	.	127668	127899	6,218,147	CA
chr1	134942	135283	EH38E3951283	0	.	134942	135283	6,218,147	CA
chr1	136378	136540	EH38E3951284	0	.	136378	136540	216,118,236	TF
chr1	136646	136985	EH38E3951285	0	.	136646	136985	6,218,147	CA
chr1	138917	139112	EH38E3951286	0	.	138917	139112	255,167,0	pELS
chr1	139237	139527	EH38E3951287	0	.	139237	139527	216,118,236	TF
chr1	180743	180904	EH38E2776522	0	.	180743	180904	255,170,170	CA-H3K4me3
chr1	181014	181237	EH38E2776523	0	.	181014	181237	255,170,170	CA-H3K4me3
chr1	181289	181639	EH38E2776524	0	.	181289	181639	255,170,170	CA-H3K4me3
chr1	181980	182151	EH38E3951288	0	.	181980	182151	0,176,240	CA-CTCF
chr1	182641	182979	EH38E3951289	0	.	182641	182979	6,218,147	CA
chr1	183226	183378	EH38E3951290	0	.	183226	183378	6,218,147	CA
chr1	183706	183897	EH38E3951291	0	.	183706	183897	6,218,147	CA
chr1	184094	184266	EH38E3951292	0	.	184094	184266	255,167,0	pELS
chr1	184383	184570	EH38E3951293	0	.	184383	184570	0,176,240	CA-CTCF
chr1	185635	185808	EH38E3951294	0	.	185635	185808	6,218,147	CA
chr1	186252	186599	EH38E3951295	0	.	186252	186599	0,176,240	CA-CTCF
chr1	186996	187161	EH38E3951296	0	.	186996	187161	0,176,240	CA-CTCF
chr1	188396	188559	EH38E3951297	0	.	188396	188559	6,218,147	CA
chr1	190809	191058	EH38E2776525	0	.	190809	191058	255,205,0	dELS
chr1	191294	191644	EH38E2776526	0	.	191294	191644	255,205,0	dELS
chr1	191759	191935	EH38E2776527	0	.	191759	191935	255,205,0	dELS
chr1	264598	264768	EH38E3951298	0	.	264598	264768	6,218,147	CA
chr1	267925	268171	EH38E2776528	0	.	267925	268171	0,176,240	CA-CTCF
chr1	271226	271468	EH38E2776529	0	.	271226	271468	255,205,0	dELS
chr1	273877	274051	EH38E3951299	0	.	273877	274051	216,118,236	TF
chr1	274329	274481	EH38E2776530	0	.	274329	274481	255,205,0	dELS
chr1	276232	276384	EH38E3951300	0	.	276232	276384	6,218,147	CA
chr1	280516	280778	EH38E2776531	0	.	280516	280778	255,205,0	dELS
chr1	502579	502740	EH38E3951301	0	.	502579	502740	6,218,147	CA
chr1	586036	586264	EH38E2776532	0	.	586036	586264	0,176,240	CA-CTCF
